Property,Description,Examples
Silhouette,Examine the pants' overall shape to determine their silhouette. Classify according to the following categories,"Straight, Slim, Skinny, Wide Leg, Bootcut, Flared, Tapered, Relaxed, Cropped, Jogger, Palazzo, Cargo, Other, None."
Fit,Determine the pants' fit by observing how they conform to the wearer's body. Classify the fit into the following categories,"Tight, Loose, Regular, Slim Fit, Relaxed Fit, Baggy, Tapered Fit, Other, None."
Waist Style,Identify the style of the pants' waist by looking at its position and design. Classify the waist style into the following categories,"High Waist, Mid-Rise, Low Rise, Elastic, Drawstring, Paperbag, Belted, Other, None."
Waist Detailing,"Note any detailing present at the pants' waist, such as belts or decorative elements. Classify the waist detailing into the following categories","Belt Loops, Sash, Buckle, Pleats, Ruffles, Other, None."
Closure Type,"Identify the type of closure used on the pants, which may affect both function and style. Classify the closure type into the following categories","Zipper, Button, Hook-and-Eye, Drawstring, Elastic Waistband, Other, None."
Length,Measure the pants from the waist to the bottom hem to determine their length. Classify the length into the following categories,"Full Length, Cropped, Ankle Length, Capri, Other, None."
Leg Style,Observe the style of the pants' legs. Classify the leg style into the following categories,"Straight Leg, Wide Leg, Skinny Leg, Tapered Leg, Flared Leg, Bell Bottom, Other, None."
Hem Detailing,Look for any detailing on the pants' hem. Classify the hem detailing into the following categories,"Cuffed, Raw Hem, Elastic Hem, Drawstring Hem, Other, None."
Pocket Style,Check for the presence and style of pockets on the pants. Classify the pocket style into the following categories,"Side Pockets, Back Pockets, Cargo Pockets, Slit Pockets, Patch Pockets, No Pockets, Other, None."
Pocket Location,Identify the location of pockets on the pants if present. Classify the pocket location as,"Front, Back, Side, Inner, Other, None."
Overall Functional Features,Identify any functional features of the pants such as linings or adjustable elements. Classify the functional features into the following categories,"Pockets, Belt Loops, Lined, Adjustable Waist, Reinforced Knees, Other, None."
Overall Decorative Elements,Observe any decorative elements on the pants. Classify the decorative elements into the following categories,"Patterns, Sequins, Appliqués, Prints, Embroidery, Color Blocking, Panels, Other, None."
Fabric Composition,Determine the type of fabric used in the pants' construction. Classify the fabric composition into the following categories,"Cotton, Polyester, Wool, Silk, Denim, Leather, Linen, Rayon, Other, None."
